n°	source	destination	distance	nb itérations simple	nb itérations bidir	temps simple (ms)	temps bidir (ms)
1	7611	5959	7292	5893	5071	202.8096	147.0299
2	5024	9036	5711	3264	2685	40.4546	37.1208
3	1569	5469	7680	7601	6230	156.6682	71.1705
4	3363	7911	987	200	121	1.993	2.2995
5	6946	4726	4360	3128	2164	30.3955	28.9001
6	9083	3706	8426	6392	5559	124.5488	108.7524
7	8743	8774	8903	7974	5650	78.9679	62.4183
8	190	2756	2208	1020	699	9.3976	9.9649
9	245	2721	8948	7830	3991	75.3576	53.7584
10	8293	1964	10042	8974	6401	203.2182	92.2618
11	747	7460	4306	2700	1662	36.2182	23.3322
12	5319	3339	3352	2535	1582	35.22	22.9599
13	5336	8974	3713	1143	917	15.0341	14.3166
14	9332	7544	7409	5513	4458	57.9404	50.4975
15	8489	2014	8951	8997	6740	92.0655	80.6555
16	1287	7167	1611	693	352	7.0351	4.3864
17	9440	7626	5405	6002	4121	66.4989	46.6469
18	1887	7245	6138	4410	3683	50.2193	41.2541
19	1904	9033	4973	3137	2333	42.0555	32.5969
20	7511	5946	5641	7798	3003	80.4123	32.6053
21	3013	2078	652	130	60	1.2725	0.9719
22	4432	8739	4201	1920	1657	18.4149	17.75
23	2129	4673	1015	280	166	2.5613	1.9922
24	3136	6818	4738	6341	3072	59.1979	34.4472
25	4896	2427	5044	2654	2181	20.6641	18.6723
26	8660	4125	9394	9200	6314	73.0767	76.9819
27	5309	1503	7575	6782	5684	77.4654	70.9621
28	7857	5384	6924	5877	4619	52.0676	43.3378
29	1517	8176	12235	9726	7557	84.6157	74.7025
30	1208	7160	6984	7906	4946	60.4991	47.1189
31	5097	6722	7327	6969	5025	61.0461	47.512
32	888	806	6980	7614	5963	57.2321	49.9718
33	9370	609	1722	828	426	6.2344	4.2847
34	9038	6027	6017	6156	4378	49.7004	41.2645
35	8173	3960	3172	2845	1403	24.7111	13.2383
36	4199	6990	9693	8452	6710	71.1612	58.7584
37	742	2895	9510	7846	6234	66.4506	73.8231
38	8358	6407	1388	547	247	5.2747	2.7718
39	5568	9476	6221	7133	4907	64.176	50.9255
40	224	351	5143	6497	3496	58.278	36.2672
41	6386	3108	3744	3482	1625	31.5817	15.667
42	132	1863	5939	5168	3944	38.5771	32.9213
43	4446	6614	2009	989	539	7.9166	4.8581
44	1129	3409	5903	5516	4545	40.9328	37.5115
45	3587	1429	9935	8765	7154	61.6758	56.9431
46	6080	7022	1354	254	188	1.6194	2.0072
47	3090	9736	8758	6523	5751	48.3714	53.1439
48	4777	6549	5422	4536	3129	41.2835	32.2001
49	1901	6016	7348	6368	4865	60.0565	52.1559
50	193	3821	2729	1850	1085	19.9494	13.0393
51	9643	7677	4844	4635	2303	43.5644	19.1288
52	8632	567	5164	5129	3768	41.267	30.8928
53	9097	5517	1641	778	361	6.7667	3.3232
54	8481	8619	8621	7601	5837	69.1894	53.5864
55	90	7970	3352	3104	1530	26.5038	12.9877
56	8210	3566	6155	9119	3962	64.6748	33.1635
57	2927	4559	3883	2011	1825	15.2223	15.2399
58	2811	2317	6050	6056	4157	45.8391	33.2186
59	3842	79	9397	8738	6904	62.7657	54.0213
60	7524	1560	1346	532	294	4.1152	4.8034
61	6876	3618	12451	9876	7521	69.3739	60.0042
62	6863	9566	4619	5992	2419	44.2799	19.3097
63	9415	5604	921	144	88	1.0357	1.2618
64	5613	9360	3813	3783	1650	29.367	13.7461
65	7037	9420	2897	984	803	7.9402	6.5914
66	2717	3061	3207	2822	1509	24.0701	13.6668
67	8319	3278	6446	5785	4368	53.049	39.4111
68	2062	3466	6399	5511	4657	43.2863	40.5153
69	4994	3277	8579	8786	6777	64.0349	55.6659
70	2149	4707	3408	2358	1464	20.5299	12.45
71	5059	8945	5294	5974	3129	44.7305	25.1124
72	410	3811	2225	1382	725	12.5872	6.1315
73	8139	7328	5716	6624	4134	47.2741	32.8382
74	3181	1332	7093	6871	4388	50.9353	35.1186
75	8078	5453	6648	6245	3612	47.1435	28.9934
76	310	2115	2696	1984	996	15.1523	8.2032
77	1406	2762	1590	698	348	6.9716	3.17
78	1770	4571	5372	4016	3473	33.4524	31.6019
79	4060	970	2988	2503	1206	18.9822	10.2492
80	9753	1788	5562	4743	2815	36.1324	27.2543
81	1822	3800	7170	6492	4326	59.0183	43.6254
82	8565	9560	7099	6220	4320	54.206	34.364
83	6508	2462	3418	1988	1394	16.0982	11.4122
84	557	9066	5487	4535	3541	35.0244	28.4414
85	2805	7363	8642	7982	6646	61.6641	55.9948
86	151	4579	7156	4619	4019	39.1002	33.9303
87	846	5731	4384	5334	2639	40.5467	21.2488
88	5228	178	3805	3839	2059	29.9343	16.7314
89	1002	7868	2489	1394	906	10.5722	7.8489
90	7500	7695	4415	2819	1936	21.8976	15.8705
91	4598	4899	6360	7706	3636	56.358	30.3192
92	2803	5877	7912	9491	6079	68.3208	48.2788
93	8411	1025	7377	6995	4546	50.3125	37.1147
94	3604	2234	5466	4944	3454	36.929	27.8244
95	3270	6798	3990	3496	2240	27.3816	18.3508
96	3905	4572	7168	6053	5075	43.5365	41.4345
97	4164	4312	3953	2359	1623	17.9046	13.5918
98	3821	1593	230	23	13	0.2053	0.4998
99	8055	4544	7358	9635	5000	67.6873	39.2297
