source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path lengthBidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
7611;5959;87;5893;7292;67;56;5072;7292;67
5024;9036;27;3262;5711;52;25;2686;5711;52
1569;5469;46;7600;7680;66;55;6227;7680;66
3363;7911;5;199;987;10;3;122;987;10
6946;4726;16;3128;4360;38;21;2165;4360;38
9083;3706;38;6392;8426;72;32;5560;8426;72
8743;8774;27;7973;8903;79;26;5651;8903;79
190;2756;4;1020;2208;20;4;700;2208;20
245;2721;34;7829;8948;50;18;3994;8948;50
8293;1964;20;8974;10042;85;29;6402;10042;85
747;7460;11;2699;4306;37;6;1663;4306;37
5319;3339;8;2534;3352;31;6;1583;3352;31
5336;8974;4;1141;3713;16;4;918;3713;19
9332;7544;17;5510;7409;66;29;4457;7409;66
8489;2014;29;8998;8951;75;35;6739;8951;75
1287;7167;2;693;1611;17;1;353;1611;17
9440;7626;18;6001;5405;48;18;4122;5405;49
1887;7245;20;4409;6138;54;14;3684;6138;54
1904;9033;9;3136;4973;47;13;2336;4973;47
7511;5946;21;7797;5641;52;11;3008;5641;52
3013;2078;0;128;652;8;0;61;652;8
4432;8739;6;1920;4201;43;5;1658;4201;43
2129;4673;2;281;1015;12;1;167;1015;12
3136;6818;17;6341;4738;43;12;3075;4738;43
4896;2427;9;2654;5044;53;8;2182;5044;53
8660;4125;20;9199;9394;86;20;6315;9394;86
5309;1503;18;6782;7575;64;22;5685;7575;64
7857;5384;16;5875;6924;65;15;4620;6924;65
1517;8176;21;9726;12235;112;28;7556;12235;112
1208;7160;19;7906;6984;66;22;4947;6984;66
5097;6722;20;6969;7327;68;19;5028;7327;68
888;806;21;7615;6980;67;22;5964;6980;67
9370;609;4;829;1722;18;4;427;1722;18
9038;6027;19;6156;6017;55;20;4379;6017;55
8173;3960;12;2845;3172;31;7;1406;3172;31
4199;6990;22;8452;9693;94;32;6711;9693;94
