source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
7611;5959;69;5893;7292;67;43;5071;7292;67
5024;9036;18;3262;5711;52;30;2685;5711;52
1569;5469;54;7600;7680;66;57;6226;7680;66
3363;7911;1;199;987;10;3;121;987;10
6946;4726;16;3128;4360;38;15;2164;4360;38
9083;3706;43;6392;8426;72;34;5559;8426;72
8743;8774;21;7973;8903;79;25;5650;8903;79
190;2756;0;1020;2208;20;5;699;2208;20
245;2721;14;7829;8948;50;21;3993;8948;50
8293;1964;20;8974;10042;85;21;6401;10042;85
747;7460;8;2699;4306;37;12;1662;4306;37
5319;3339;8;2534;3352;31;12;1582;3352;31
5336;8974;0;1141;3713;16;9;917;3713;19
9332;7544;14;5510;7409;66;38;4456;7409;66
8489;2014;29;8998;8951;75;36;6738;8951;75
1287;7167;3;693;1611;17;3;352;1611;17
9440;7626;11;6001;5405;48;16;4121;5405;49
1887;7245;19;4409;6138;54;18;3683;6138;54
1904;9033;16;3136;4973;47;19;2335;4973;47
7511;5946;32;7797;5641;52;16;3007;5641;52
3013;2078;8;128;652;8;0;60;652;8
4432;8739;8;1920;4201;43;16;1657;4201;43
2129;4673;0;281;1015;12;0;166;1015;12
3136;6818;32;6341;4738;43;16;3074;4738;43
4896;2427;15;2654;5044;53;18;2181;5044;53
8660;4125;44;9199;9394;86;26;6314;9394;86
5309;1503;25;6782;7575;64;28;5684;7575;64
7857;5384;16;5875;6924;65;16;4619;6924;65
1517;8176;20;9726;12235;112;20;7555;12235;112
1208;7160;25;7906;6984;66;24;4946;6984;66
5097;6722;26;6969;7327;68;34;5027;7327;68
888;806;26;7615;6980;67;25;5963;6980;67
9370;609;8;829;1722;18;0;426;1722;18
9038;6027;17;6156;6017;55;19;4378;6017;55
8173;3960;16;2845;3172;31;13;1405;3172;31
4199;6990;22;8452;9693;94;27;6710;9693;94
742;2895;21;7846;9510;86;23;6234;9510;86
8358;6407;0;547;1388;11;0;249;1388;11
5568;9476;29;7132;6221;55;29;4907;6221;55
224;351;24;6497;5143;44;21;3494;5143;44
6386;3108;20;3483;3744;33;8;1625;3744;33
132;1863;25;5168;5939;53;20;3943;5939;53
4446;6614;1;989;2009;17;10;541;2009;17
1129;3409;11;5515;5903;50;17;4545;5903;50
3587;1429;24;8765;9935;90;37;7156;9935;90
6080;7022;0;254;1354;15;0;188;1354;15
3090;9736;20;6523;8758;72;29;5751;8758;72
4777;6549;20;4536;5422;47;16;3131;5422;47
1901;6016;25;6368;7348;66;25;4865;7348;66
193;3821;18;1851;2729;31;9;1087;2729;31
9643;7677;19;4635;4844;43;14;2305;4844;43
8632;567;17;5129;5164;47;16;3770;5164;47
9097;5517;0;778;1641;15;6;361;1641;15
8481;8619;17;7601;8621;81;23;5837;8621;81
90;7970;10;3104;3352;31;0;1532;3352;31
8210;3566;24;9119;6155;65;17;3962;6155;65
2927;4559;10;2011;3883;39;1;1827;3883;39
2811;2317;24;6056;6050;56;10;4159;6050;56
3842;79;24;8739;9397;82;25;6904;9397;82
7524;1560;0;532;1346;13;8;294;1346;13
6876;3618;16;9876;12451;113;42;7521;12451;113
6863;9566;27;5991;4619;37;15;2419;4619;37
9415;5604;6;144;921;8;2;88;921;8
5613;9360;12;3782;3813;30;19;1650;3813;30
7037;9420;1;984;2897;27;9;803;2897;27
2717;3061;14;2822;3207;32;11;1511;3207;32
8319;3278;14;5785;6446;54;19;4366;6446;54
2062;3466;17;5512;6399;60;16;4657;6399;60
4994;3277;23;8786;8579;88;27;6775;8579;88
2149;4707;7;2358;3408;36;7;1464;3408;36
5059;8945;16;5974;5294;49;7;3129;5294;49
410;3811;9;1384;2225;24;5;725;2225;24
8139;7328;15;6624;5716;56;19;4134;5716;56
3181;1332;17;6871;7093;65;15;4388;7093;65
8078;5453;21;6246;6648;64;13;3612;6648;64
310;2115;11;1984;2696;26;0;996;2696;26
1406;2762;9;698;1590;15;0;348;1590;15
1770;4571;9;4017;5372;51;16;3473;5372;51
4060;970;9;2504;2988;33;8;1208;2988;33
9753;1788;17;4742;5562;49;18;2815;5562;49
1822;3800;22;6493;7170;57;26;4326;7170;57
8565;9560;24;6220;7099;56;37;4318;7099;56
6508;2462;9;1988;3418;34;8;1394;3418;34
557;9066;27;4535;5487;54;24;3541;5487;54
2805;7363;26;7983;8642;70;37;6646;8642;70
151;4579;16;4619;7156;66;14;4019;7156;66
