source;target;path length;path weight;Dijkstra time;Dijkstra iteration;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;
7611;5959;1;0;;163;4712;57;3502
5024;9036;1;0;;31;4712;48;3502
1569;5469;1;0;;48;4712;45;3502
6946;4726;1;0;;35;4712;59;3502
9083;3706;1;0;;35;4712;52;3502
8743;8774;1;0;;41;4712;31;3502
190;2756;1;0;;6;4712;19;3502
245;2721;1;0;;32;4712;26;3502
8293;1964;1;0;;35;4712;39;3502
747;7460;1;0;;13;4712;10;3502
5319;3339;1;0;;13;4712;10;3502
5336;8974;1;0;;5;4712;5;3502
9332;7544;1;0;;24;4712;23;3502
8489;2014;1;0;;34;4712;39;3502
1287;7167;1;0;;3;4712;3;3502
9440;7626;1;0;;24;4712;24;3502
1887;7245;1;0;;18;4712;19;3502
1904;9033;1;0;;13;4712;13;3502
7511;5946;1;0;;31;4712;16;3502
4432;8739;1;0;;14;4712;12;3502
2129;4673;1;0;;1;4712;1;3502
3136;6818;1;0;;25;4712;19;3502
4896;2427;1;0;;12;4712;11;3502
8660;4125;1;0;;37;4712;33;3502
5309;1503;1;0;;25;4712;29;3502
7857;5384;1;0;;22;4712;24;3502
1517;8176;1;0;;28;4712;42;3502
1208;7160;1;0;;32;4712;29;3502
5097;6722;1;0;;34;4712;31;3502
888;806;1;0;;34;4712;36;3502
9370;609;1;0;;5;4712;3;3502
9038;6027;1;0;;31;4712;25;3502
8173;3960;1;0;;53;4712;14;3502
4199;6990;1;0;;46;4712;44;3502
742;2895;1;0;;36;4712;37;3502
8358;6407;1;0;;3;4712;3;3502
5568;9476;1;0;;31;4712;31;3502
224;351;1;0;;33;4712;22;3502
6386;3108;1;0;;18;4712;12;3502
132;1863;1;0;;26;4712;23;3502
4446;6614;1;0;;6;4712;4;3502
1129;3409;1;0;;27;4712;29;3502
3587;1429;1;0;;34;4712;43;3502
6080;7022;1;0;;2;4712;2;3502
3090;9736;1;0;;29;4712;31;3502
4777;6549;1;0;;23;4712;19;3502
1901;6016;1;0;;31;4712;29;3502
193;3821;1;0;;11;4712;10;3502
9643;7677;1;0;;27;4712;17;3502
8632;567;1;0;;26;4712;22;3502
9097;5517;1;0;;5;4712;3;3502
8481;8619;1;0;;30;4712;33;3502
90;7970;1;0;;17;4712;10;3502
8210;3566;1;0;;34;4712;28;3502
2927;4559;1;0;;12;4712;15;3502
2811;2317;1;0;;27;4712;24;3502
3842;79;1;0;;33;4712;35;3502
7524;1560;1;0;;2;4712;4;3502
6876;3618;1;0;;32;4712;38;3502
6863;9566;1;0;;25;4712;15;3502
9415;5604;1;0;;3;4712;2;3502
5613;9360;1;0;;19;4712;9;3502
7037;9420;1;0;;6;4712;6;3502
2717;3061;1;0;;12;4712;10;3502
8319;3278;1;0;;21;4712;23;3502
2062;3466;1;0;;20;4712;23;3502
4994;3277;1;0;;27;4712;30;3502
2149;4707;1;0;;11;4712;8;3502
5059;8945;1;0;;24;4712;19;3502
410;3811;1;0;;6;4712;4;3502
8139;7328;1;0;;21;4712;19;3502
3181;1332;1;0;;22;4712;19;3502
8078;5453;1;0;;20;4712;15;3502
310;2115;1;0;;7;4712;6;3502
1406;2762;1;0;;2;4712;2;3502
1770;4571;1;0;;14;4712;15;3502
4060;970;1;0;;10;4712;6;3502
9753;1788;1;0;;16;4712;16;3502
1822;3800;1;0;;22;4712;18;3502
8565;9560;1;0;;18;4712;17;3502
6508;2462;1;0;;8;4712;7;3502
557;9066;1;0;;16;4712;13;3502
2805;7363;1;0;;22;4712;24;3502
151;4579;1;0;;16;4712;17;3502
846;5731;1;0;;17;4712;12;3502
5228;178;1;0;;15;4712;10;3502
1002;7868;1;0;;5;4712;4;3502
7500;7695;1;0;;10;4712;8;3502
4598;4899;1;0;;21;4712;15;3502
2803;5877;1;0;;22;4712;22;3502
8411;1025;1;0;;19;4712;17;3502
3604;2234;1;0;;16;4712;14;3502
3270;6798;1;0;;11;4712;9;3502
3905;4572;1;0;;18;4712;18;3502
4164;4312;1;0;;10;4712;9;3502
8055;4544;1;0;;24;4712;22;3502
2600;2443;1;0;;16;4712;19;3502
6070;545;1;0;;21;4712;25;3502
5162;1822;1;0;;18;4712;15;3502
9680;1726;1;0;;23;4712;23;3502
9099;3743;1;0;;25;4712;21;3502
4417;198;1;0;;4;4712;3;3502
7278;6243;1;0;;4;4712;4;3502
3069;1207;1;0;;3;4712;2;3502
7150;6562;1;0;;19;4712;21;3502
7289;6684;1;0;;14;4712;13;3502
113;1694;1;0;;19;4712;15;3502
7129;6484;1;0;;0;4712;1;3502
9689;2980;1;0;;7;4712;4;3502
6052;3185;1;0;;11;4712;11;3502
4617;8893;1;0;;18;4712;13;3502
7635;7817;1;0;;23;4712;27;3502
997;3073;1;0;;2;4712;2;3502
537;9261;1;0;;18;4712;9;3502
7698;2105;1;0;;19;4712;15;3502
2845;6612;1;0;;2;4712;3;3502
9068;927;1;0;;21;4712;11;3502
2306;9427;1;0;;20;4712;19;3502
2166;2724;1;0;;3;4712;3;3502
8311;235;1;0;;5;4712;6;3502
220;1806;1;0;;6;4712;5;3502
186;5359;1;0;;16;4712;14;3502
1813;236;1;0;;9;4712;7;3502
9944;7216;1;0;;15;4712;16;3502
6165;9880;1;0;;8;4712;5;3502
5536;7383;1;0;;14;4712;15;3502
8814;5128;1;0;;21;4712;22;3502
1957;8606;1;0;;22;4712;13;3502
6310;9664;1;0;;14;4712;15;3502
9538;5739;1;0;;20;4712;20;3502
8563;5047;1;0;;7;4712;4;3502
7815;5674;1;0;;27;4712;21;3502
8835;8964;1;0;;21;4712;24;3502
4514;6374;1;0;;2;4712;1;3502
6697;2118;1;0;;3;4712;3;3502
6041;4932;1;0;;7;4712;5;3502
5585;8157;1;0;;18;4712;19;3502
8084;8557;1;0;;15;4712;17;3502
997;6872;1;0;;14;4712;18;3502
5128;9237;1;0;;21;4712;24;3502
2024;892;1;0;;19;4712;10;3502
1757;9100;1;0;;16;4712;17;3502
6895;285;1;0;;20;4712;22;3502
4433;1041;1;0;;14;4712;13;3502
2848;4348;1;0;;12;4712;12;3502
4213;238;1;0;;2;4712;2;3502
7042;5037;1;0;;18;4712;16;3502
1749;4276;1;0;;4;4712;4;3502
6324;2612;1;0;;9;4712;6;3502
